Deformation results for spatially-varying 10 Pa load
Index S Position (m)       Z Deflection (m)    
162   2.0447e-01           1.029700e-04        
163   2.0574e-01           1.013200e-04        
164   2.0701e-01           9.945900e-05        
165   2.0828e-01           9.756400e-05        
166   2.0955e-01           9.545500e-05        
167   2.1082e-01           9.332300e-05        
168   2.1209e-01           9.097900e-05        
169   2.1336e-01           8.862000e-05        
170   2.1463e-01           8.603000e-05        
171   2.1590e-01           8.345000e-05        
172   2.1717e-01           8.067500e-05        
173   2.1844e-01           7.788900e-05        
174   2.1971e-01           7.490400e-05        
175   2.2098e-01           7.189800e-05        
176   2.2225e-01           6.885300e-05        
177   2.2352e-01           6.575600e-05        
178   2.2479e-01           6.253800e-05        
179   2.2606e-01           5.916400e-05        
180   2.2733e-01           5.583500e-05        
181   2.2860e-01           5.245000e-05        
182   2.2987e-01           4.899500e-05        
183   2.3114e-01           4.552600e-05        
184   2.3241e-01           4.203400e-05        
185   2.3368e-01           3.862100e-05        
186   2.3495e-01           3.510600e-05        
187   2.3622e-01           3.168100e-05        
188   2.3749e-01           2.834000e-05        
189   2.3876e-01           2.497300e-05        
190   2.4003e-01           2.177000e-05        
191   2.4130e-01           1.863500e-05        
192   2.4257e-01           1.568700e-05        
193   2.4384e-01           1.284100e-05        
194   2.4511e-01           1.017600e-05        
195   2.4638e-01           7.841100e-06        
196   2.4765e-01           5.580800e-06        
197   2.4892e-01           3.786700e-06        
198   2.5019e-01           2.251900e-06        
199   2.5146e-01           1.074600e-06        
200   2.5273e-01           4.190700e-07        
201   2.5400e-01           -3.110200e-19       
